📏 石头掩码面积误差报告 (严格 1对1 匹配计算)
====================================================================================================

▶ 图片: IMG_20251223142837.jpg (有效标注: 194 | 有效预测: 186)
--------------------------------------------------------------------------------
  [1对1精准匹配] 石头_000 | IoU: 0.96 | 真实:   9276px | 预测:   8802px | 误差:   -474px (  -5.1%)
  [1对1精准匹配] 石头_001 | IoU: 0.96 | 真实:  15296px | 预测:  15178px | 误差:   -118px (  -0.8%)
  [1对1精准匹配] 石头_002 | IoU: 0.96 | 真实:  12806px | 预测:  12617px | 误差:   -188px (  -1.5%)
  [1对1精准匹配] 石头_003 | IoU: 0.90 | 真实:  10344px | 预测:  10240px | 误差:   -104px (  -1.0%)
  [彻底漏检]     石头_004 | 真实:   5400px | 无匹配预测
  [彻底漏检]     石头_005 | 真实:   4121px | 无匹配预测
  [1对1精准匹配] 石头_006 | IoU: 0.90 | 真实:   9095px | 预测:   8740px | 误差:   -355px (  -3.9%)
  [1对1精准匹配] 石头_007 | IoU: 0.95 | 真实:  12506px | 预测:  12374px | 误差:   -133px (  -1.1%)
  [1对1精准匹配] 石头_008 | IoU: 0.81 | 真实:   8301px | 预测:   8306px | 误差:     +5px (  +0.1%)
  [彻底漏检]     石头_009 | 真实:   6786px | 无匹配预测
  [1对1精准匹配] 石头_010 | IoU: 0.96 | 真实:  10848px | 预测:  10459px | 误差:   -389px (  -3.6%)
  [1对1精准匹配] 石头_011 | IoU: 0.98 | 真实:  17951px | 预测:  17791px | 误差:   -160px (  -0.9%)
  [1对1精准匹配] 石头_012 | IoU: 0.96 | 真实:   9560px | 预测:   9499px | 误差:    -62px (  -0.6%)
  [1对1精准匹配] 石头_013 | IoU: 0.81 | 真实:   8220px | 预测:   7762px | 误差:   -457px (  -5.6%)
  [1对1精准匹配] 石头_014 | IoU: 0.94 | 真实:  10940px | 预测:  10724px | 误差:   -216px (  -2.0%)
  [1对1精准匹配] 石头_015 | IoU: 0.93 | 真实:   7704px | 预测:   7326px | 误差:   -378px (  -4.9%)
  [1对1精准匹配] 石头_016 | IoU: 0.97 | 真实:  14281px | 预测:  14033px | 误差:   -248px (  -1.7%)
  [1对1精准匹配] 石头_017 | IoU: 0.97 | 真实:   6951px | 预测:   6923px | 误差:    -28px (  -0.4%)
  [1对1精准匹配] 石头_018 | IoU: 0.88 | 真实:   9862px | 预测:   9512px | 误差:   -350px (  -3.5%)
  [1对1精准匹配] 石头_019 | IoU: 0.73 | 真实:  10441px | 预测:  12086px | 误差:  +1645px ( +15.8%)
  [1对1精准匹配] 石头_020 | IoU: 0.94 | 真实:  12270px | 预测:  11872px | 误差:   -398px (  -3.2%)
  [1对1精准匹配] 石头_021 | IoU: 0.90 | 真实:   7480px | 预测:   7258px | 误差:   -222px (  -3.0%)
  [1对1精准匹配] 石头_022 | IoU: 0.95 | 真实:  12325px | 预测:  11818px | 误差:   -507px (  -4.1%)
  [1对1精准匹配] 石头_023 | IoU: 0.91 | 真实:   5805px | 预测:   5554px | 误差:   -250px (  -4.3%)
  [1对1精准匹配] 石头_024 | IoU: 0.83 | 真实:   4720px | 预测:   4261px | 误差:   -458px (  -9.7%)
  [1对1精准匹配] 石头_025 | IoU: 0.97 | 真实:   9683px | 预测:   9528px | 误差:   -155px (  -1.6%)
  [1对1精准匹配] 石头_026 | IoU: 0.94 | 真实:  10864px | 预测:  10708px | 误差:   -156px (  -1.4%)
  [1对1精准匹配] 石头_027 | IoU: 0.96 | 真实:  15846px | 预测:  15564px | 误差:   -282px (  -1.8%)
  [1对1精准匹配] 石头_028 | IoU: 0.91 | 真实:   8865px | 预测:   8379px | 误差:   -486px (  -5.5%)
  [1对1精准匹配] 石头_029 | IoU: 0.90 | 真实:   6550px | 预测:   6484px | 误差:    -66px (  -1.0%)
  [1对1精准匹配] 石头_030 | IoU: 0.95 | 真实:   9110px | 预测:   8984px | 误差:   -126px (  -1.4%)
  [1对1精准匹配] 石头_031 | IoU: 0.82 | 真实:   4568px | 预测:   4398px | 误差:   -170px (  -3.7%)
  [彻底漏检]     石头_032 | 真实:   4334px | 无匹配预测
  [彻底漏检]     石头_033 | 真实:   3873px | 无匹配预测
  [1对1精准匹配] 石头_034 | IoU: 0.94 | 真实:   5315px | 预测:   5011px | 误差:   -304px (  -5.7%)
  [1对1精准匹配] 石头_035 | IoU: 0.95 | 真实:   6712px | 预测:   6732px | 误差:    +20px (  +0.3%)
  [1对1精准匹配] 石头_036 | IoU: 0.94 | 真实:   9846px | 预测:   9700px | 误差:   -146px (  -1.5%)
  [1对1精准匹配] 石头_037 | IoU: 0.85 | 真实:   6027px | 预测:   5529px | 误差:   -498px (  -8.3%)
  [1对1精准匹配] 石头_038 | IoU: 0.89 | 真实:  13668px | 预测:  12330px | 误差:  -1338px (  -9.8%)
  [彻底漏检]     石头_039 | 真实:   5628px | 无匹配预测
  [1对1精准匹配] 石头_040 | IoU: 0.89 | 真实:   6641px | 预测:   6163px | 误差:   -478px (  -7.2%)
  [1对1精准匹配] 石头_041 | IoU: 0.90 | 真实:   7624px | 预测:   7414px | 误差:   -211px (  -2.8%)
  [1对1精准匹配] 石头_042 | IoU: 0.96 | 真实:   9918px | 预测:   9842px | 误差:    -77px (  -0.8%)
  [1对1精准匹配] 石头_043 | IoU: 0.96 | 真实:   7470px | 预测:   7605px | 误差:   +134px (  +1.8%)
  [1对1精准匹配] 石头_044 | IoU: 0.96 | 真实:  12146px | 预测:  12035px | 误差:   -111px (  -0.9%)
  [1对1精准匹配] 石头_045 | IoU: 0.77 | 真实:   4596px | 预测:   3552px | 误差:  -1044px ( -22.7%)
  [1对1精准匹配] 石头_046 | IoU: 0.90 | 真实:   8924px | 预测:   8993px | 误差:    +70px (  +0.8%)
  [1对1精准匹配] 石头_047 | IoU: 0.70 | 真实:  13272px | 预测:  16781px | 误差:  +3508px ( +26.4%)
  [1对1精准匹配] 石头_048 | IoU: 0.92 | 真实:  12604px | 预测:  12478px | 误差:   -126px (  -1.0%)
  [1对1精准匹配] 石头_049 | IoU: 0.96 | 真实:   8600px | 预测:   8330px | 误差:   -269px (  -3.1%)
  [1对1精准匹配] 石头_050 | IoU: 0.94 | 真实:   4818px | 预测:   4696px | 误差:   -123px (  -2.6%)
  [1对1精准匹配] 石头_051 | IoU: 0.47 | 真实:   4000px | 预测:   2049px | 误差:  -1950px ( -48.8%)
  [1对1精准匹配] 石头_052 | IoU: 0.92 | 真实:   6829px | 预测:   6666px | 误差:   -164px (  -2.4%)
  [1对1精准匹配] 石头_053 | IoU: 0.95 | 真实:   7210px | 预测:   6966px | 误差:   -245px (  -3.4%)
  [1对1精准匹配] 石头_054 | IoU: 0.98 | 真实:  17408px | 预测:  17339px | 误差:    -69px (  -0.4%)
  [1对1精准匹配] 石头_055 | IoU: 0.91 | 真实:   7518px | 预测:   7180px | 误差:   -338px (  -4.5%)
  [1对1精准匹配] 石头_056 | IoU: 0.91 | 真实:   8673px | 预测:   8586px | 误差:    -88px (  -1.0%)
  [1对1精准匹配] 石头_057 | IoU: 0.88 | 真实:   6508px | 预测:   6822px | 误差:   +314px (  +4.8%)
  [1对1精准匹配] 石头_058 | IoU: 0.95 | 真实:   9972px | 预测:   9486px | 误差:   -485px (  -4.9%)
  [1对1精准匹配] 石头_059 | IoU: 0.98 | 真实:   7952px | 预测:   7802px | 误差:   -150px (  -1.9%)
  [1对1精准匹配] 石头_060 | IoU: 0.94 | 真实:  19904px | 预测:  19638px | 误差:   -266px (  -1.3%)
  [1对1精准匹配] 石头_061 | IoU: 0.92 | 真实:  13039px | 预测:  13392px | 误差:   +354px (  +2.7%)
  [1对1精准匹配] 石头_062 | IoU: 0.96 | 真实:   9794px | 预测:   9568px | 误差:   -226px (  -2.3%)
  [1对1精准匹配] 石头_063 | IoU: 0.96 | 真实:   8791px | 预测:   8726px | 误差:    -65px (  -0.7%)
  [1对1精准匹配] 石头_064 | IoU: 0.83 | 真实:   5854px | 预测:   6478px | 误差:   +623px ( +10.6%)
  [1对1精准匹配] 石头_065 | IoU: 0.93 | 真实:   6546px | 预测:   6178px | 误差:   -369px (  -5.6%)
  [彻底漏检]     石头_066 | 真实:   8435px | 无匹配预测
  [1对1精准匹配] 石头_067 | IoU: 0.87 | 真实:   5644px | 预测:   5626px | 误差:    -18px (  -0.3%)
  [1对1精准匹配] 石头_068 | IoU: 0.93 | 真实:   8732px | 预测:   9123px | 误差:   +392px (  +4.5%)
  [1对1精准匹配] 石头_069 | IoU: 0.96 | 真实:  10586px | 预测:  10636px | 误差:    +50px (  +0.5%)
  [1对1精准匹配] 石头_070 | IoU: 0.94 | 真实:   9236px | 预测:   9050px | 误差:   -186px (  -2.0%)
  [1对1精准匹配] 石头_071 | IoU: 0.90 | 真实:   6010px | 预测:   5590px | 误差:   -420px (  -7.0%)
  [1对1精准匹配] 石头_072 | IoU: 0.95 | 真实:  10883px | 预测:  10286px | 误差:   -596px (  -5.5%)
  [彻底漏检]     石头_073 | 真实:   5344px | 无匹配预测
  [1对1精准匹配] 石头_074 | IoU: 0.87 | 真实:   6240px | 预测:   6170px | 误差:    -69px (  -1.1%)
  [1对1精准匹配] 石头_075 | IoU: 0.90 | 真实:   8928px | 预测:   9240px | 误差:   +312px (  +3.5%)
  [1对1精准匹配] 石头_076 | IoU: 0.95 | 真实:  12170px | 预测:  11635px | 误差:   -536px (  -4.4%)
  [1对1精准匹配] 石头_077 | IoU: 0.95 | 真实:  11997px | 预测:  11437px | 误差:   -560px (  -4.7%)
  [1对1精准匹配] 石头_078 | IoU: 0.94 | 真实:   6323px | 预测:   6278px | 误差:    -46px (  -0.7%)
  [1对1精准匹配] 石头_079 | IoU: 0.73 | 真实:   6487px | 预测:   7472px | 误差:   +985px ( +15.2%)
  [1对1精准匹配] 石头_080 | IoU: 0.93 | 真实:   8516px | 预测:   8610px | 误差:    +94px (  +1.1%)
  [1对1精准匹配] 石头_081 | IoU: 0.92 | 真实:   8090px | 预测:   7572px | 误差:   -518px (  -6.4%)
  [彻底漏检]     石头_082 | 真实:   6686px | 无匹配预测
  [彻底漏检]     石头_083 | 真实:   6278px | 无匹配预测
  [1对1精准匹配] 石头_084 | IoU: 0.85 | 真实:   6934px | 预测:   7186px | 误差:   +252px (  +3.6%)
  [1对1精准匹配] 石头_085 | IoU: 0.97 | 真实:  16024px | 预测:  15944px | 误差:    -80px (  -0.5%)
  [1对1精准匹配] 石头_086 | IoU: 0.75 | 真实:  10246px | 预测:  14426px | 误差:  +4179px ( +40.8%)
  [1对1精准匹配] 石头_087 | IoU: 0.94 | 真实:   5432px | 预测:   5158px | 误差:   -274px (  -5.0%)
  [1对1精准匹配] 石头_088 | IoU: 0.89 | 真实:   9904px | 预测:   9324px | 误差:   -580px (  -5.9%)
  [1对1精准匹配] 石头_089 | IoU: 0.96 | 真实:  12212px | 预测:  11934px | 误差:   -278px (  -2.3%)
  [1对1精准匹配] 石头_090 | IoU: 0.98 | 真实:   8891px | 预测:   8502px | 误差:   -390px (  -4.4%)
  [1对1精准匹配] 石头_091 | IoU: 0.90 | 真实:  10662px | 预测:  11242px | 误差:   +580px (  +5.4%)
  [1对1精准匹配] 石头_092 | IoU: 0.91 | 真实:  11566px | 预测:  10604px | 误差:   -963px (  -8.3%)
  [1对1精准匹配] 石头_093 | IoU: 0.92 | 真实:  12412px | 预测:  12204px | 误差:   -208px (  -1.7%)
  [1对1精准匹配] 石头_094 | IoU: 0.97 | 真实:  13304px | 预测:  13130px | 误差:   -174px (  -1.3%)
  [1对1精准匹配] 石头_095 | IoU: 0.91 | 真实:  11150px | 预测:  11090px | 误差:    -60px (  -0.5%)
  [1对1精准匹配] 石头_096 | IoU: 0.98 | 真实:   8676px | 预测:   8924px | 误差:   +248px (  +2.9%)
  [1对1精准匹配] 石头_097 | IoU: 0.90 | 真实:   6979px | 预测:   6351px | 误差:   -628px (  -9.0%)
  [1对1精准匹配] 石头_098 | IoU: 0.94 | 真实:  10452px | 预测:  10000px | 误差:   -452px (  -4.3%)
  [1对1精准匹配] 石头_099 | IoU: 0.92 | 真实:  12914px | 预测:  13138px | 误差:   +224px (  +1.7%)
  [1对1精准匹配] 石头_100 | IoU: 0.94 | 真实:   8431px | 预测:   8331px | 误差:   -100px (  -1.2%)
  [1对1精准匹配] 石头_101 | IoU: 0.97 | 真实:  13517px | 预测:  13144px | 误差:   -373px (  -2.8%)
  [1对1精准匹配] 石头_102 | IoU: 0.96 | 真实:  11545px | 预测:  11265px | 误差:   -280px (  -2.4%)
  [1对1精准匹配] 石头_103 | IoU: 0.99 | 真实:  12788px | 预测:  12512px | 误差:   -277px (  -2.2%)
  [1对1精准匹配] 石头_104 | IoU: 0.94 | 真实:  10935px | 预测:  10586px | 误差:   -350px (  -3.2%)
  [1对1精准匹配] 石头_105 | IoU: 0.89 | 真实:   8719px | 预测:   9222px | 误差:   +503px (  +5.8%)
  [1对1精准匹配] 石头_106 | IoU: 0.86 | 真实:   6204px | 预测:   6402px | 误差:   +198px (  +3.2%)
  [1对1精准匹配] 石头_107 | IoU: 0.97 | 真实:   8504px | 预测:   7888px | 误差:   -616px (  -7.2%)
  [彻底漏检]     石头_108 | 真实:   6275px | 无匹配预测
  [1对1精准匹配] 石头_109 | IoU: 0.95 | 真实:  10216px | 预测:   9881px | 误差:   -334px (  -3.3%)
  [1对1精准匹配] 石头_110 | IoU: 0.96 | 真实:  14439px | 预测:  14466px | 误差:    +26px (  +0.2%)
  [1对1精准匹配] 石头_111 | IoU: 0.86 | 真实:   7059px | 预测:   6128px | 误差:   -932px ( -13.2%)
  [1对1精准匹配] 石头_112 | IoU: 0.92 | 真实:   7959px | 预测:   8145px | 误差:   +186px (  +2.3%)
  [1对1精准匹配] 石头_113 | IoU: 0.96 | 真实:   7915px | 预测:   8174px | 误差:   +259px (  +3.3%)
  [1对1精准匹配] 石头_114 | IoU: 0.96 | 真实:   9368px | 预测:   9041px | 误差:   -326px (  -3.5%)
  [1对1精准匹配] 石头_115 | IoU: 0.96 | 真实:  14862px | 预测:  14460px | 误差:   -402px (  -2.7%)
  [1对1精准匹配] 石头_116 | IoU: 0.96 | 真实:  14993px | 预测:  15100px | 误差:   +106px (  +0.7%)
  [彻底漏检]     石头_117 | 真实:   5659px | 无匹配预测
  [1对1精准匹配] 石头_118 | IoU: 0.91 | 真实:   7377px | 预测:   6946px | 误差:   -432px (  -5.8%)
  [1对1精准匹配] 石头_119 | IoU: 0.92 | 真实:   8950px | 预测:   8484px | 误差:   -466px (  -5.2%)
  [1对1精准匹配] 石头_120 | IoU: 0.87 | 真实:   6741px | 预测:   6937px | 误差:   +196px (  +2.9%)
  [1对1精准匹配] 石头_121 | IoU: 0.96 | 真实:   5588px | 预测:   5378px | 误差:   -210px (  -3.8%)
  [1对1精准匹配] 石头_122 | IoU: 0.90 | 真实:   4432px | 预测:   4224px | 误差:   -208px (  -4.7%)
  [1对1精准匹配] 石头_123 | IoU: 0.87 | 真实:   5056px | 预测:   4966px | 误差:    -89px (  -1.8%)
  [1对1精准匹配] 石头_124 | IoU: 0.89 | 真实:   9346px | 预测:   9156px | 误差:   -190px (  -2.0%)
  [1对1精准匹配] 石头_125 | IoU: 0.92 | 真实:  13716px | 预测:  13162px | 误差:   -554px (  -4.0%)
  [1对1精准匹配] 石头_126 | IoU: 0.96 | 真实:  13210px | 预测:  12784px | 误差:   -426px (  -3.2%)
  [1对1精准匹配] 石头_127 | IoU: 0.98 | 真实:  14278px | 预测:  14058px | 误差:   -220px (  -1.5%)
  [1对1精准匹配] 石头_128 | IoU: 0.96 | 真实:  12341px | 预测:  11966px | 误差:   -374px (  -3.0%)
  [彻底漏检]     石头_129 | 真实:   8510px | 无匹配预测
  [1对1精准匹配] 石头_130 | IoU: 0.87 | 真实:  10565px | 预测:  10348px | 误差:   -218px (  -2.1%)
  [1对1精准匹配] 石头_131 | IoU: 0.89 | 真实:   4732px | 预测:   4704px | 误差:    -28px (  -0.6%)
  [1对1精准匹配] 石头_132 | IoU: 0.89 | 真实:  11792px | 预测:  11951px | 误差:   +159px (  +1.3%)
  [1对1精准匹配] 石头_133 | IoU: 0.97 | 真实:   7844px | 预测:   7936px | 误差:    +92px (  +1.2%)
  [1对1精准匹配] 石头_134 | IoU: 0.90 | 真实:   8165px | 预测:   7634px | 误差:   -532px (  -6.5%)
  [1对1精准匹配] 石头_135 | IoU: 0.97 | 真实:  11832px | 预测:  11410px | 误差:   -421px (  -3.6%)
  [1对1精准匹配] 石头_136 | IoU: 0.83 | 真实:   4730px | 预测:   4867px | 误差:   +138px (  +2.9%)
  [1对1精准匹配] 石头_137 | IoU: 0.96 | 真实:   9084px | 预测:   9084px | 误差:     -1px (  -0.0%)
  [1对1精准匹配] 石头_138 | IoU: 0.96 | 真实:  11410px | 预测:  11122px | 误差:   -287px (  -2.5%)
  [1对1精准匹配] 石头_139 | IoU: 0.94 | 真实:   8261px | 预测:   8300px | 误差:    +40px (  +0.5%)
  [彻底漏检]     石头_140 | 真实:   4743px | 无匹配预测
  [1对1精准匹配] 石头_141 | IoU: 0.96 | 真实:   8344px | 预测:   8310px | 误差:    -35px (  -0.4%)
  [1对1精准匹配] 石头_142 | IoU: 0.96 | 真实:   9857px | 预测:   9196px | 误差:   -662px (  -6.7%)
  [1对1精准匹配] 石头_143 | IoU: 0.95 | 真实:   6890px | 预测:   6666px | 误差:   -225px (  -3.3%)
  [1对1精准匹配] 石头_144 | IoU: 0.89 | 真实:   7335px | 预测:   6256px | 误差:  -1078px ( -14.7%)
  [1对1精准匹配] 石头_145 | IoU: 0.94 | 真实:  14004px | 预测:  13518px | 误差:   -486px (  -3.5%)
  [1对1精准匹配] 石头_146 | IoU: 0.80 | 真实:   7722px | 预测:   8630px | 误差:   +908px ( +11.8%)
  [1对1精准匹配] 石头_147 | IoU: 0.94 | 真实:   9034px | 预测:   8481px | 误差:   -552px (  -6.1%)
  [彻底漏检]     石头_148 | 真实:   6563px | 无匹配预测
  [1对1精准匹配] 石头_149 | IoU: 0.96 | 真实:  11149px | 预测:  11340px | 误差:   +192px (  +1.7%)
  [1对1精准匹配] 石头_150 | IoU: 0.92 | 真实:  11546px | 预测:  11675px | 误差:   +129px (  +1.1%)
  [1对1精准匹配] 石头_151 | IoU: 0.97 | 真实:  13608px | 预测:  13667px | 误差:    +58px (  +0.4%)
  [1对1精准匹配] 石头_152 | IoU: 0.94 | 真实:   8562px | 预测:   8498px | 误差:    -64px (  -0.7%)
  [1对1精准匹配] 石头_153 | IoU: 0.94 | 真实:  10606px | 预测:  10456px | 误差:   -150px (  -1.4%)
  [1对1精准匹配] 石头_154 | IoU: 0.89 | 真实:   5584px | 预测:   5438px | 误差:   -146px (  -2.6%)
  [1对1精准匹配] 石头_155 | IoU: 0.90 | 真实:   5696px | 预测:   5522px | 误差:   -174px (  -3.0%)
  [1对1精准匹配] 石头_156 | IoU: 0.93 | 真实:   5800px | 预测:   5646px | 误差:   -154px (  -2.6%)
  [1对1精准匹配] 石头_157 | IoU: 0.89 | 真实:   7684px | 预测:   7012px | 误差:   -672px (  -8.8%)
  [彻底漏检]     石头_158 | 真实:   5676px | 无匹配预测
  [1对1精准匹配] 石头_159 | IoU: 0.99 | 真实:  15166px | 预测:  14818px | 误差:   -349px (  -2.3%)
  [1对1精准匹配] 石头_160 | IoU: 0.94 | 真实:  11324px | 预测:  11014px | 误差:   -309px (  -2.7%)
  [1对1精准匹配] 石头_161 | IoU: 0.95 | 真实:  10595px | 预测:  10760px | 误差:   +164px (  +1.6%)
  [1对1精准匹配] 石头_162 | IoU: 0.94 | 真实:   8252px | 预测:   8145px | 误差:   -108px (  -1.3%)
  [1对1精准匹配] 石头_163 | IoU: 0.93 | 真实:  10112px | 预测:   9641px | 误差:   -471px (  -4.7%)
  [1对1精准匹配] 石头_164 | IoU: 0.91 | 真实:   5310px | 预测:   5148px | 误差:   -162px (  -3.0%)
  [1对1精准匹配] 石头_165 | IoU: 0.94 | 真实:   9663px | 预测:   9630px | 误差:    -32px (  -0.3%)
  [1对1精准匹配] 石头_166 | IoU: 0.93 | 真实:   6974px | 预测:   6686px | 误差:   -288px (  -4.1%)
  [1对1精准匹配] 石头_167 | IoU: 0.87 | 真实:   6524px | 预测:   6516px | 误差:     -8px (  -0.1%)
  [1对1精准匹配] 石头_168 | IoU: 0.97 | 真实:   6550px | 预测:   6432px | 误差:   -118px (  -1.8%)
